item_id,title,category,author,year,image_url,tags,synopsis
84,The World God Only Knows,Shounen,Tamiki Wakaki,2008,https://comicvine.gamespot.com/a/uploads/scale_large/11/110017/9568096-wwww.jpg,"Comédia Romântica, Harém, Jogos, Sobrenatural, Conquista","Keima Katsuragi, mestre em jogos de namoro, é forçado a conquistar garotas reais para expulsar espíritos fugitivos que se escondem em seus corações."
85,Tegami Bachi,Shounen,Hiroyuki Asada,2006,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/3234971-01.jpg,"Fantasia, Aventura, Cartas, Monstros, Emocionante","Em um mundo de noite eterna, Lag Seeing trabalha como um entregador de cartas (Letter Bee), viajando por terras perigosas para conectar os corações das pessoas."
86,Air Gear,Shounen,Oh! great,2002,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/1917911-01.jpg,"Esporte, Sci-Fi, Patins, Ação, Gangues","Itsuki Minami descobre os Air Treks, patins motorizados futuristas, e forma uma gangue para dominar os céus e as ruas em batalhas de alta velocidade."
87,Bakuman,Shounen,Tsugumi Ohba,2008,https://comicvine.gamespot.com/a/uploads/scale_large/0/3125/4316703-bak1.jpg,"Slice of Life, Mangá, Romance, Carreira, Sonho","Dois estudantes decidem se tornar criadores de mangá profissionais, enfrentando os desafios da indústria editorial para ter um anime antes dos 18 anos."
88,Yakitate!! Japan,Shounen,Takashi Hashiguchi,2002,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/4079846-01.jpg,"Culinária, Comédia, Pão, Torneio, Reações Exageradas","Kazuma Azuma tem mãos solares e sonha em criar o 'Ja-Pan', um pão nacional para o Japão, participando de competições de panificação absurdas."
89,Food Wars!,Shounen,Yuto Tsukuda,2012,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/4378105-01.jpg,"Culinária, Ecchi, Competição, Escolar, Gourmet","Soma Yukihira entra em uma escola de culinária de elite onde os alunos resolvem disputas através de duelos culinários intensos e sensoriais."
90,Hikaru no Go,Shounen,Yumi Hotta,1998,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/3182244-01.jpg,"Jogo, Estratégia, Sobrenatural, Fantasma, Rivalidade","Hikaru Shindo encontra um tabuleiro de Go assombrado pelo espírito de um mestre antigo, que o guia para se tornar um jogador profissional."
91,Kuroko no Basket,Shounen,Tadatoshi Fujimaki,2008,https://comicvine.gamespot.com/a/uploads/scale_small/11/110017/9687432-wwww.jpg,"Esporte, Basquete, Superpoderes, Rivalidade, Equipe","Kuroko, um jogador invisível da lendária 'Geração dos Milagres', ajuda seu novo time e o talentoso Kagami a derrotar seus antigos companheiros."
92,Haikyuu!!,Shounen,Haruichi Furudate,2012,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/5302637-01.jpg,"Esporte, Vôlei, Escolar, Superação, Equipe","Hinata Shoyo, apesar de sua baixa estatura, sonha em ser um grande jogador de vôlei. Ele se une ao seu rival Kageyama para levar seu time ao topo."
93,Prince of Tennis,Shounen,Takeshi Konomi,1999,https://comicvine.gamespot.com/a/uploads/scale_small/8/89742/1687055-wah2.jpg,"Esporte, Tênis, Rivalidade, Escolar, Habilidades","Ryoma Echizen, um prodígio do tênis, entra na Seigaku e enfrenta adversários poderosos em busca do campeonato nacional."
94,Eyeshield 21,Shounen,Riichiro Inagaki,2002,https://comicvine.gamespot.com/a/uploads/scale_large/13/136525/5409986-1.jpg,"Esporte, Futebol Americano, Comédia, Ação, Velocidade","Sena, um garoto tímido e rápido, é recrutado para o time de futebol americano da escola como o misterioso running back 'Eyeshield 21'."
95,Captain Tsubasa,Shounen,Yōichi Takahashi,1981,https://comicvine.gamespot.com/a/uploads/scale_small/13/136525/5183485-1.jpg,"Esporte, Futebol, Clássico, Sonho, Internacional","Tsubasa Oozora é um garoto apaixonado por futebol que sonha em ganhar a Copa do Mundo pelo Japão, enfrentando rivais e desafios ao redor do mundo."
96,Initial D,Seinen,Shuichi Shigeno,1995,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/6900375-01.jpg,"Corrida, Carros, Drift, Ação, Cotidiano","Takumi Fujiwara, um entregador de tofu, descobre ser um piloto de drift prodigioso nas montanhas de Akina, atraindo a atenção de corredores de rua."
97,Battle Royale,Seinen,Koushun Takami,2000,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/6035879-01.jpg,"Ação, Terror, Sobrevivência, Distopia, Violência","Estudantes do ensino médio são forçados pelo governo a lutar até a morte em uma ilha isolada até que reste apenas um sobrevivente."
98,Homunculus,Seinen,Hideo Yamamoto,2003,https://comicvine.gamespot.com/a/uploads/scale_large/11/110017/9412315-001.jpg,"Psicológico, Horror, Sobrenatural, Mente, Sociedade","Um homem aceita participar de um experimento de trepanação (furar o crânio) e ganha a habilidade de ver os traumas e distorções psicológicas das pessoas."
99,Goodnight Punpun,Seinen,Inio Asano,2007,https://comicvine.gamespot.com/a/uploads/scale_large/6/67663/5099108-01.jpg,"Drama, Psicológico, Slice of Life, Depressão, Crescimento","A vida conturbada de Punpun Onodera, retratado como um pássaro rabiscado, enquanto ele cresce e lida com amor, família disfuncional e saúde mental."
100,20th Century Boys,Suspense,Naoki Urasawa,1999,https://comicvine.gamespot.com/a/uploads/scale_large/11/110017/8513389-20thcb~1.jpg,"Mistério, Sci-Fi, Conspiração, Culto, Amizade","Kenji e seus amigos de infância descobrem que um líder de culto misterioso conhecido como 'Amigo' está usando as brincadeiras que eles inventaram quando crianças para dominar o mundo."
